id_colab,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,promotion_last_5years,job,salary,left,salary_encoded
97,0.1,0.77,6,265,4,0,0,sales,low,1,1
98,0.1,0.84,6,279,4,0,0,sales,low,1,1
99,0.11,0.97,6,284,4,0,0,sales,low,1,1
100,0.9,1.0,5,221,6,0,0,sales,medium,1,2
101,0.38,0.52,2,154,3,0,0,sales,medium,1,2
102,0.36,0.52,2,147,3,0,0,sales,medium,1,2
103,0.42,0.46,2,150,3,0,0,sales,medium,1,2
104,0.09,0.94,7,267,4,0,0,sales,medium,1,2
105,0.43,0.52,2,158,3,0,0,sales,medium,1,2
108,0.44,0.5,2,148,3,0,0,accounting,medium,1,2
109,0.71,0.87,3,177,4,0,0,hr,medium,1,2
110,0.4,0.49,2,155,3,0,0,hr,medium,1,2
111,0.43,0.47,2,144,3,0,0,hr,medium,1,2
112,0.09,0.85,6,289,4,0,0,hr,high,1,3
113,0.43,0.52,2,160,3,0,0,technical,low,1,1
114,0.9,0.96,4,258,5,0,0,technical,medium,1,2
115,0.84,1.0,5,234,5,0,0,technical,medium,1,2
116,0.37,0.48,2,137,3,0,0,technical,medium,1,2
121,0.14,0.62,4,158,4,1,0,technical,low,1,1
122,0.4,0.46,2,135,3,0,0,technical,low,1,1
124,0.11,0.84,6,300,5,1,0,support,low,1,1
125,0.46,0.49,2,138,3,0,0,support,low,1,1
126,0.11,0.92,6,260,4,0,0,support,low,1,1
127,0.38,0.49,2,132,3,0,0,support,low,1,1
128,0.7,0.89,3,183,5,0,0,support,low,1,1
129,0.09,0.82,6,250,4,0,0,support,low,1,1
130,0.37,0.45,2,151,3,0,0,support,low,1,1
131,0.1,0.83,6,292,4,0,0,support,low,1,1
132,0.38,0.57,2,140,3,0,0,support,low,1,1
133,0.9,1.0,5,221,5,0,0,support,low,1,1
135,0.36,0.5,2,132,3,0,0,technical,low,1,1
137,0.1,0.84,6,283,4,1,0,technical,low,1,1
138,0.42,0.48,2,129,3,0,0,management,low,1,1
139,0.74,1.0,4,249,5,0,0,IT,low,1,1
140,0.73,0.87,5,257,5,0,0,IT,low,1,1
141,0.09,0.96,6,245,4,0,0,IT,low,1,1
143,0.11,0.8,6,256,4,0,0,IT,low,1,1
144,0.37,0.47,2,152,3,0,0,product_mng,low,1,1
148,0.11,0.87,6,306,4,0,0,IT,low,1,1
149,0.84,0.88,4,263,5,1,0,marketing,low,1,1
150,0.39,0.5,2,147,3,0,0,marketing,low,1,1
151,0.11,0.91,6,278,4,0,0,marketing,low,1,1
152,0.45,0.56,2,154,3,0,0,marketing,low,1,1
153,0.37,0.52,2,143,3,0,0,marketing,low,1,1
154,0.4,0.52,2,155,3,0,0,marketing,low,1,1
157,0.83,1.0,5,240,5,0,0,support,low,1,1
158,0.11,0.92,6,305,4,0,0,technical,low,1,1
159,0.39,0.5,2,136,3,0,0,management,low,1,1
160,0.45,0.45,2,132,3,0,0,marketing,low,1,1
161,0.1,0.95,7,301,4,0,0,marketing,low,1,1
162,0.9,0.98,5,243,6,0,0,marketing,low,1,1
163,0.45,0.51,2,147,3,0,0,sales,low,1,1
164,0.79,0.89,5,239,5,0,0,sales,low,1,1
165,0.9,0.99,5,260,5,0,0,sales,low,1,1
167,0.43,0.55,2,129,3,0,0,sales,low,1,1
168,0.31,0.54,5,132,5,0,0,sales,low,1,1
169,0.32,0.5,2,135,5,0,0,sales,low,1,1
170,0.45,0.57,2,158,3,0,0,sales,low,1,1
173,0.11,0.78,7,278,4,0,0,sales,low,1,1
174,0.1,0.88,6,284,4,0,0,sales,low,1,1
178,0.38,0.5,2,140,3,0,0,sales,medium,1,2
181,0.4,0.47,2,146,3,0,0,sales,medium,1,2
182,0.1,0.84,6,261,4,0,0,accounting,medium,1,2
183,0.89,0.99,5,257,5,0,0,accounting,medium,1,2
185,0.36,0.55,2,141,3,0,0,hr,medium,1,2
186,0.4,0.46,2,127,3,0,0,hr,medium,1,2
188,0.4,0.46,2,143,3,0,0,hr,medium,1,2
190,0.44,0.51,2,156,3,0,0,technical,high,1,3
192,0.92,0.87,4,226,6,1,0,technical,medium,1,2
194,0.09,0.82,6,249,4,0,0,technical,medium,1,2
196,0.09,0.8,6,304,4,0,0,technical,low,1,1
197,0.27,0.54,7,278,3,0,0,technical,low,1,1
199,0.1,0.89,7,285,4,0,0,technical,low,1,1
200,0.77,0.94,5,226,6,0,0,support,low,1,1
201,0.9,0.82,5,259,5,0,0,support,low,1,1
202,0.39,0.5,2,135,3,0,0,support,low,1,1
203,0.76,1.0,5,219,5,0,0,support,low,1,1
206,0.38,0.5,2,153,3,0,0,support,low,1,1
208,0.78,0.87,4,228,5,0,0,support,low,1,1
210,0.38,0.52,2,153,3,0,0,support,low,1,1
213,0.88,1.0,5,219,5,0,0,technical,low,1,1
214,0.45,0.46,2,153,3,0,0,management,low,1,1
215,0.4,0.53,2,151,3,0,0,IT,low,1,1
216,0.36,0.51,2,155,3,0,0,IT,low,1,1
217,0.36,0.48,2,158,3,0,0,IT,low,1,1
218,0.9,0.98,5,245,5,0,0,IT,low,1,1
219,0.43,0.53,2,131,3,0,0,IT,low,1,1
220,0.89,0.87,5,225,5,0,0,product_mng,low,1,1
221,0.1,0.84,6,286,4,0,0,product_mng,low,1,1
222,0.37,0.5,2,135,3,0,0,product_mng,low,1,1
224,0.87,0.9,5,252,5,0,0,IT,low,1,1
225,0.4,0.56,2,149,3,0,0,accounting,low,1,1
226,0.9,0.97,4,258,5,0,0,accounting,low,1,1
228,0.44,0.54,2,149,3,0,0,hr,low,1,1
229,0.85,0.95,5,236,5,0,0,hr,low,1,1
231,0.42,0.47,2,159,3,0,0,marketing,low,1,1
233,0.11,0.83,6,244,4,0,0,accounting,low,1,1
234,0.42,0.56,2,134,3,0,0,support,low,1,1
235,0.48,0.57,4,270,4,0,0,technical,low,1,1
237,0.4,0.53,2,151,3,0,0,marketing,low,1,1
238,0.43,0.45,2,135,3,0,0,marketing,low,1,1
239,0.43,0.53,2,146,3,0,0,marketing,low,1,1
240,0.1,0.97,7,254,4,0,0,sales,low,1,1
241,0.1,0.87,7,289,4,0,0,sales,low,1,1
242,0.37,0.46,2,156,3,0,0,sales,low,1,1
243,0.38,0.53,2,156,3,0,0,sales,low,1,1
244,0.4,0.5,2,128,3,0,0,sales,low,1,1
245,0.89,0.86,5,275,5,0,0,sales,low,1,1
247,0.37,0.48,2,159,3,0,0,sales,low,1,1
248,0.46,0.49,2,148,3,0,0,sales,low,1,1
249,0.87,0.91,4,228,5,0,0,sales,low,1,1
250,0.11,0.84,6,298,4,0,0,sales,low,1,1
251,0.79,0.87,5,261,5,0,0,sales,low,1,1
252,0.79,0.92,5,254,6,0,0,sales,low,1,1
253,0.19,0.59,7,192,3,0,0,sales,low,1,1
257,0.11,0.81,6,266,4,1,0,sales,medium,1,2
258,0.42,0.54,2,156,3,0,0,sales,medium,1,2
259,0.88,0.88,5,232,5,1,0,accounting,medium,1,2
260,0.11,0.84,6,287,4,0,0,accounting,medium,1,2
261,0.46,0.46,2,154,3,0,0,accounting,medium,1,2
262,0.82,0.97,5,263,5,0,0,hr,medium,1,2
263,0.44,0.56,2,131,3,0,0,hr,medium,1,2
264,0.11,0.78,6,260,4,0,0,hr,medium,1,2
266,0.84,0.93,4,251,5,0,0,technical,medium,1,2
268,0.45,0.53,2,129,3,0,0,technical,high,1,3
269,0.38,0.56,2,156,3,0,0,technical,low,1,1
270,0.38,0.86,6,139,6,0,0,technical,medium,1,2
271,0.44,0.51,2,127,3,0,0,technical,medium,1,2
273,0.81,0.93,5,270,5,0,0,technical,medium,1,2
275,0.11,0.9,6,254,4,0,0,technical,low,1,1
276,0.81,0.95,5,238,6,0,0,technical,low,1,1
277,0.1,0.97,6,267,4,1,0,support,low,1,1
280,0.82,0.81,4,233,4,1,0,support,low,1,1
281,0.1,0.98,6,268,4,0,0,support,low,1,1
282,0.27,0.56,3,301,3,0,0,support,low,1,1
283,0.83,0.92,5,267,6,0,0,support,low,1,1
284,0.1,0.93,6,289,4,1,0,support,low,1,1
287,0.11,0.83,6,306,4,0,0,support,low,1,1
288,0.11,0.79,6,292,4,0,1,technical,low,1,1
289,0.82,0.91,5,232,5,0,0,technical,low,1,1
290,0.36,0.48,2,137,3,0,0,technical,low,1,1
291,0.4,0.46,2,128,3,0,0,management,low,1,1
294,0.11,0.91,6,308,4,1,0,IT,low,1,1
296,0.38,0.51,2,146,3,0,0,IT,medium,1,2
300,0.74,0.84,5,249,5,0,0,product_mng,medium,1,2
304,0.37,0.55,2,127,3,0,0,RandD,medium,1,2
305,0.89,0.87,5,255,5,0,0,RandD,medium,1,2
306,0.45,0.47,2,135,3,0,0,RandD,medium,1,2
308,0.11,0.81,5,287,4,0,0,sales,low,1,1
309,0.41,0.48,2,145,3,0,0,accounting,medium,1,2
310,0.1,0.94,6,285,4,0,0,support,medium,1,2
311,0.1,0.93,7,305,4,0,0,technical,medium,1,2
313,0.4,0.54,2,139,3,0,0,marketing,low,1,1
314,0.41,0.49,2,130,3,0,0,marketing,low,1,1
315,0.1,0.81,6,268,4,0,0,marketing,low,1,1
316,0.73,0.86,4,245,6,0,0,sales,low,1,1
319,0.11,0.94,6,276,4,0,0,sales,low,1,1
320,0.4,0.46,2,130,3,0,0,sales,low,1,1
322,0.82,0.84,5,244,5,0,0,sales,low,1,1
323,0.61,0.47,2,253,3,0,0,sales,low,1,1
324,0.11,0.91,7,287,4,0,0,sales,low,1,1
325,0.37,0.45,2,131,3,0,0,sales,low,1,1
326,0.41,0.52,2,135,3,0,0,sales,low,1,1
327,0.37,0.52,2,157,3,0,0,sales,low,1,1
329,0.1,0.85,6,266,4,0,0,sales,low,1,1
330,0.44,0.48,2,148,3,0,0,sales,low,1,1
332,0.11,0.85,7,302,4,0,0,sales,low,1,1
333,0.09,0.98,6,271,4,0,0,sales,low,1,1
334,0.45,0.52,2,145,3,0,0,sales,medium,1,2
335,0.1,0.81,6,290,4,0,0,accounting,medium,1,2
337,0.77,0.87,5,266,5,0,0,accounting,medium,1,2
338,0.44,0.51,2,140,3,0,0,hr,medium,1,2
339,0.39,0.5,2,142,3,0,0,hr,medium,1,2
340,0.1,0.91,6,246,4,0,0,hr,medium,1,2
342,0.37,0.47,2,141,3,0,0,technical,medium,1,2
343,0.9,1.0,5,232,5,0,0,technical,medium,1,2
347,0.81,1.0,4,253,5,0,0,technical,low,1,1
349,0.11,0.84,7,264,4,0,0,technical,medium,1,2
352,0.48,0.93,3,219,6,0,0,technical,low,1,1
353,0.91,0.91,4,262,6,0,0,support,low,1,1
355,0.33,0.88,6,219,5,0,0,support,low,1,1
358,0.37,0.54,2,149,3,0,0,support,low,1,1
359,0.31,0.62,6,135,5,0,0,support,low,1,1
361,0.1,0.87,6,290,4,0,0,support,low,1,1
362,0.76,0.9,4,263,5,0,0,support,low,1,1
363,0.41,0.54,2,145,3,0,0,support,low,1,1
364,0.72,0.96,5,267,5,0,0,technical,low,1,1
365,0.4,0.5,2,141,3,1,0,technical,low,1,1
369,0.82,0.86,5,243,5,0,0,IT,low,1,1
370,0.1,0.82,6,266,4,0,0,IT,low,1,1
371,0.37,0.45,2,142,3,0,0,IT,low,1,1
373,0.39,0.48,2,141,3,0,0,product_mng,medium,1,2
375,0.86,0.84,5,254,5,0,0,product_mng,medium,1,2
376,0.73,0.99,5,262,5,0,0,product_mng,medium,1,2
377,0.56,0.71,4,296,2,0,0,IT,medium,1,2
378,0.44,0.56,2,158,3,0,0,accounting,medium,1,2
379,0.31,0.56,4,238,2,0,0,accounting,medium,1,2
381,0.44,0.45,2,156,3,0,0,hr,medium,1,2
383,0.45,0.48,2,144,3,0,0,marketing,medium,1,2
384,0.38,0.51,2,159,3,0,0,sales,medium,1,2
386,0.75,0.9,5,256,5,0,0,support,low,1,1
388,0.1,0.97,6,247,4,0,0,management,medium,1,2
389,0.45,0.5,2,157,3,0,0,marketing,medium,1,2
390,0.42,0.57,2,154,3,1,0,marketing,medium,1,2
391,0.78,1.0,4,253,5,0,0,marketing,low,1,1
392,0.45,0.55,2,148,3,0,0,sales,low,1,1
393,0.84,1.0,4,261,5,0,0,sales,low,1,1
394,0.11,0.93,6,282,4,0,0,sales,low,1,1
396,0.45,0.46,2,128,3,0,0,sales,low,1,1
397,0.46,0.57,2,139,3,0,0,sales,low,1,1
398,0.09,0.79,6,293,5,0,0,sales,low,1,1
401,0.91,1.0,5,251,6,0,0,sales,low,1,1
403,0.74,1.0,5,275,5,0,0,sales,low,1,1
406,0.47,0.5,4,254,4,0,0,sales,low,1,1
407,0.73,0.99,5,241,5,0,0,sales,low,1,1
408,0.09,0.94,6,257,4,0,0,sales,low,1,1
410,0.82,0.98,4,233,5,0,0,sales,low,1,1
411,0.28,0.45,6,218,4,0,0,accounting,low,1,1
412,0.84,0.99,4,262,6,0,0,accounting,medium,1,2
413,0.45,0.53,2,138,3,0,0,accounting,medium,1,2
416,0.42,0.48,2,155,3,0,0,hr,medium,1,2
418,0.11,0.9,6,264,4,0,0,technical,medium,1,2
421,0.09,0.96,6,268,4,0,0,technical,medium,1,2
423,0.86,1.0,5,257,5,0,0,technical,medium,1,2
424,0.4,0.46,2,143,3,0,0,technical,high,1,3
426,0.42,0.51,2,136,3,0,0,technical,medium,1,2
427,0.74,0.92,4,261,5,0,0,technical,medium,1,2
429,0.37,0.45,2,126,3,0,0,support,medium,1,2
431,0.89,0.65,5,195,6,0,0,support,low,1,1
434,0.87,0.84,4,264,6,0,0,support,low,1,1
435,0.1,0.84,6,309,4,0,0,support,low,1,1
436,0.41,0.47,2,135,3,0,0,support,low,1,1
437,0.11,0.85,6,261,4,0,0,support,low,1,1
438,0.43,0.53,2,160,3,0,0,support,low,1,1
441,0.41,0.48,2,139,3,0,0,technical,low,1,1
442,0.36,0.78,2,151,4,0,0,technical,low,1,1
443,0.77,1.0,5,229,5,0,0,management,low,1,1
445,0.39,0.54,2,127,3,0,0,IT,low,1,1
447,0.44,0.46,2,143,3,0,0,IT,low,1,1
448,0.1,0.84,5,298,4,0,0,IT,low,1,1
450,0.81,0.92,5,239,5,0,0,product_mng,low,1,1
451,0.81,0.9,4,226,5,0,0,product_mng,medium,1,2
452,0.85,0.98,5,248,5,0,0,product_mng,medium,1,2
453,0.1,0.87,6,286,4,0,0,IT,medium,1,2
454,0.37,0.54,2,145,3,0,0,RandD,medium,1,2
455,0.09,0.97,7,254,4,1,0,RandD,medium,1,2
456,0.44,0.53,2,127,3,0,0,RandD,medium,1,2
457,0.86,0.93,5,223,5,0,0,RandD,medium,1,2
459,0.41,0.48,2,136,3,0,0,marketing,medium,1,2
460,0.4,0.48,2,137,3,0,0,sales,medium,1,2
461,0.43,0.49,2,135,3,0,0,accounting,medium,1,2
462,0.43,0.5,2,137,3,0,0,support,medium,1,2
463,0.8,0.53,3,255,5,0,0,technical,high,1,3
464,0.8,0.85,4,273,5,0,0,management,low,1,1
465,0.82,0.98,5,234,5,0,0,marketing,medium,1,2
466,0.37,0.54,2,152,3,0,0,marketing,medium,1,2
467,0.37,0.48,2,134,3,0,0,marketing,medium,1,2
468,0.09,0.95,6,292,4,0,0,sales,medium,1,2
470,0.41,0.52,2,159,3,0,0,sales,low,1,1
471,0.1,0.85,6,260,4,0,0,sales,low,1,1
472,0.44,0.53,2,149,3,0,0,sales,low,1,1
474,0.42,0.56,2,149,3,0,0,sales,low,1,1
476,0.45,0.57,2,134,3,0,0,sales,low,1,1
477,0.11,0.87,5,271,4,0,0,sales,low,1,1
478,0.09,0.79,6,275,4,0,0,sales,low,1,1
479,0.76,0.83,5,227,5,0,0,sales,low,1,1
482,0.1,0.79,6,274,4,0,0,sales,low,1,1
483,0.77,0.87,4,242,6,0,0,sales,low,1,1
484,0.42,0.54,2,143,3,1,0,sales,low,1,1
485,0.38,0.52,2,145,3,0,0,sales,low,1,1
486,0.32,0.95,5,172,2,0,0,sales,low,1,1
487,0.38,0.49,2,135,3,0,0,accounting,low,1,1
488,0.19,1.0,4,192,4,0,0,accounting,low,1,1
489,0.1,0.83,7,276,4,0,0,accounting,low,1,1
490,0.76,0.88,4,206,4,0,0,hr,medium,1,2
492,0.39,0.51,2,151,3,0,0,hr,medium,1,2
493,0.11,0.83,6,244,4,0,0,hr,medium,1,2
494,0.1,0.94,6,309,4,0,0,technical,medium,1,2
498,0.59,0.49,7,263,4,0,0,technical,medium,1,2
500,0.89,0.95,2,181,5,0,0,technical,medium,1,2
501,0.91,0.84,5,265,5,0,0,technical,medium,1,2
502,0.66,0.57,5,161,5,0,0,technical,high,1,3
503,0.11,0.87,7,282,5,0,0,technical,low,1,1
504,0.43,0.51,2,155,3,0,0,technical,medium,1,2
505,0.78,0.83,4,217,6,0,0,support,medium,1,2
510,0.37,0.57,2,155,3,0,0,support,low,1,1
512,0.53,0.85,2,164,5,0,0,support,low,1,1
513,0.09,0.96,6,259,4,0,0,support,low,1,1
514,0.11,0.89,6,293,4,0,0,support,low,1,1
515,0.83,0.96,5,275,5,0,0,support,low,1,1
516,0.88,1.0,5,219,6,1,0,technical,low,1,1
517,0.1,0.89,6,247,4,0,0,technical,low,1,1
519,0.44,0.54,2,151,3,0,0,management,low,1,1
520,0.39,0.51,2,129,3,0,0,IT,low,1,1
522,0.74,0.99,4,233,5,0,0,IT,low,1,1
523,0.1,0.95,7,289,4,0,0,IT,low,1,1
524,0.74,0.82,4,239,6,0,0,IT,low,1,1
525,0.75,0.99,5,221,5,0,0,product_mng,low,1,1
526,0.41,0.56,2,150,3,0,0,product_mng,low,1,1
529,0.09,0.8,6,301,5,0,0,IT,medium,1,2
532,0.37,0.54,2,131,3,1,0,hr,medium,1,2
533,0.1,0.84,6,246,4,0,0,hr,medium,1,2
534,0.43,0.51,2,136,3,0,0,hr,medium,1,2
536,0.37,0.56,2,156,3,0,0,sales,medium,1,2
537,0.11,0.85,6,305,4,0,0,accounting,medium,1,2
538,0.45,0.45,2,154,3,1,0,support,medium,1,2
539,0.87,1.0,5,261,5,1,0,technical,medium,1,2
540,0.11,0.94,7,244,4,0,0,management,medium,1,2
541,0.45,0.54,2,129,3,0,0,marketing,high,1,3
543,0.77,0.91,5,236,5,0,0,marketing,medium,1,2
544,0.89,0.92,5,237,5,0,0,sales,medium,1,2
547,0.37,0.47,2,149,3,0,0,sales,low,1,1
552,0.75,0.99,5,254,5,0,0,sales,low,1,1
553,0.82,0.85,5,248,5,0,0,sales,low,1,1
554,0.79,1.0,5,257,6,0,0,sales,low,1,1
555,0.43,0.53,2,150,3,0,0,sales,low,1,1
556,0.1,0.9,7,281,4,0,0,sales,low,1,1
557,0.46,0.48,2,141,3,1,0,sales,low,1,1
558,0.43,0.57,2,157,3,0,0,sales,low,1,1
560,0.11,0.8,7,296,4,0,0,sales,low,1,1
561,0.09,0.86,6,279,4,0,0,sales,low,1,1
564,0.1,0.77,7,291,4,0,0,accounting,low,1,1
566,0.79,0.58,3,294,4,0,0,hr,low,1,1
568,0.1,0.97,6,282,4,0,0,hr,medium,1,2
569,0.44,0.51,2,134,3,0,0,hr,medium,1,2
570,0.25,0.46,4,214,4,0,0,technical,medium,1,2
571,0.44,0.52,2,137,3,0,0,technical,medium,1,2
572,0.73,1.0,4,252,5,0,0,technical,medium,1,2
573,0.75,0.97,5,243,6,0,0,technical,medium,1,2
574,0.36,0.47,2,148,3,0,0,technical,medium,1,2
575,0.37,0.49,2,151,3,0,0,technical,medium,1,2
576,0.39,0.49,2,129,3,0,0,technical,medium,1,2
577,0.48,0.78,2,198,2,0,0,technical,medium,1,2
580,0.39,0.55,2,159,3,0,0,technical,high,1,3
582,0.81,0.88,5,242,5,0,0,support,medium,1,2
583,0.74,0.87,5,242,5,0,0,support,medium,1,2
584,0.44,0.56,2,145,3,0,0,support,medium,1,2
586,0.4,0.51,2,139,3,0,0,support,low,1,1
589,0.87,0.9,5,258,5,0,0,support,low,1,1
590,0.39,0.54,2,155,3,0,0,support,low,1,1
592,0.66,0.67,2,255,3,0,0,technical,low,1,1
593,0.1,0.8,6,264,4,0,0,technical,low,1,1
594,0.37,0.54,2,132,3,0,0,technical,low,1,1
596,0.09,0.87,5,263,4,0,0,IT,low,1,1
597,0.86,0.84,5,222,5,0,0,IT,low,1,1
598,0.11,0.9,6,263,4,0,0,IT,low,1,1
599,0.37,0.46,2,157,3,0,0,IT,low,1,1
601,0.77,0.98,5,259,6,0,0,product_mng,low,1,1
602,0.84,0.94,5,222,6,0,0,product_mng,low,1,1
604,0.83,0.9,5,245,5,0,0,product_mng,low,1,1
607,0.38,0.56,2,161,3,0,0,RandD,medium,1,2
610,0.1,0.85,7,279,4,0,0,RandD,medium,1,2
611,0.09,0.95,7,256,4,0,0,marketing,medium,1,2
614,0.81,0.97,5,243,5,0,0,support,medium,1,2
615,0.09,0.9,7,296,4,0,0,technical,medium,1,2
616,0.1,0.88,7,267,4,0,0,management,medium,1,2
617,0.39,0.49,2,144,3,0,0,marketing,medium,1,2
618,0.83,0.95,4,251,5,0,0,marketing,medium,1,2
619,0.45,0.57,2,148,3,0,0,marketing,high,1,3
621,0.8,0.75,3,268,2,0,0,sales,medium,1,2
624,0.36,0.52,2,146,3,0,0,sales,medium,1,2
625,0.38,0.5,2,140,3,0,0,sales,low,1,1
626,0.78,0.98,5,263,6,0,0,sales,low,1,1
627,0.44,0.49,2,145,3,0,0,sales,low,1,1
628,0.41,0.46,2,156,3,1,0,sales,low,1,1
633,0.11,0.89,6,260,5,0,0,sales,low,1,1
634,0.38,0.56,2,154,3,0,0,sales,low,1,1
635,0.82,0.92,5,225,5,0,0,sales,low,1,1
637,0.44,0.53,2,140,3,0,0,sales,low,1,1
638,0.43,0.52,2,147,3,0,0,sales,low,1,1
640,0.43,0.48,2,153,3,0,0,accounting,low,1,1
642,0.74,0.97,4,228,5,0,0,hr,low,1,1
644,0.37,0.47,2,148,3,0,0,hr,low,1,1
646,0.4,0.54,2,141,3,0,0,technical,medium,1,2
647,0.51,0.83,5,249,4,0,0,technical,medium,1,2
648,0.46,0.5,2,151,3,0,0,technical,medium,1,2
649,0.45,0.54,2,129,3,0,0,technical,medium,1,2
650,0.46,0.5,2,156,3,0,0,technical,medium,1,2
653,0.09,0.77,6,290,4,0,0,technical,medium,1,2
656,0.77,1.0,4,232,5,0,0,technical,medium,1,2
657,0.79,0.86,5,235,5,0,0,support,medium,1,2
658,0.43,0.55,2,130,3,0,0,support,high,1,3
659,0.38,0.53,2,146,3,0,0,support,low,1,1
660,0.77,0.91,5,221,6,0,0,support,medium,1,2
662,0.39,0.46,2,136,3,0,0,support,medium,1,2
663,0.78,0.89,5,274,6,0,0,support,medium,1,2
664,0.1,0.79,6,256,5,0,0,support,low,1,1
665,0.1,0.77,5,276,4,0,0,support,low,1,1
667,0.46,0.62,6,213,3,0,0,support,low,1,1
668,0.91,0.97,4,274,6,0,0,technical,low,1,1
669,0.1,0.92,6,258,4,0,0,technical,low,1,1
670,0.72,0.6,3,153,5,0,0,technical,low,1,1
671,0.11,0.95,6,245,4,0,0,management,low,1,1
672,0.11,0.94,6,264,4,0,0,IT,low,1,1
675,0.46,0.5,2,157,3,0,0,IT,low,1,1
676,0.43,0.57,2,127,3,0,0,IT,low,1,1
677,0.11,0.82,6,270,4,0,0,product_mng,low,1,1
679,0.43,0.47,2,158,3,0,0,product_mng,low,1,1
681,0.1,0.83,6,269,4,0,0,IT,low,1,1
682,0.4,0.49,2,128,3,0,0,sales,low,1,1
683,0.11,0.87,7,278,4,0,0,sales,low,1,1
684,0.86,0.98,3,158,5,0,0,sales,low,1,1
686,0.79,0.84,4,240,5,0,0,sales,medium,1,2
687,0.1,0.96,7,255,4,0,0,marketing,medium,1,2
688,0.09,0.92,7,254,4,0,0,sales,medium,1,2
689,0.09,0.82,6,257,4,0,0,accounting,medium,1,2
692,0.42,0.75,3,218,4,0,0,management,medium,1,2
695,0.78,0.71,3,249,5,0,0,marketing,medium,1,2
697,0.1,0.81,7,291,4,0,0,sales,high,1,3
698,0.11,0.8,6,306,4,0,0,sales,low,1,1
